Department of Mechanical Engineering,Sarnath,Sankat Mochan,Shri Kashi Vishwanath Temple,Shri Kashi Vishwanath Temple Dwar,Susuwahi,JHV Mall,Lanka,Manduadih Station
0,42,9,3,21,17,31,9,16
42,0,31,40,29,42,15,34,27
9,31,0,11,14,17,23,3,13
3,40,11,0,22,16,31,10,15
21,29,14,22,0,30,18,17,21
17,42,17,16,30,0,33,15,17
31,15,23,31,18,33,0,24,20
9,34,3,10,17,15,24,0,11
16,27,13,15,21,17,20,11,0
